растирать	несов.\nсм. растереть.
ватерпас	м. тех.\nватерпас (сызыктын же түздүктүн горизонталдуу абалын аныктоо үчүн колдонулуучу аспап).
пересказать	сов. что\n1. (изложить своими словами) кайта сүйлөп же жазып берүү (окуганды же укканды);\n2. (рассказать) айтуу, аңгеме сүйлөө (бир нерсе жөнүндө аңгеме сүйлөө);\nя столько видел, что всего не перескажешь мен ушунчалык көптү көрдүм, бардыгын айтып да түгөтө албаймын.
гребенчатый,	­ая, -ое\nтарак сыяктуу, тарак сымал, таракка окшош.
пал	пал I\nм. мор.\nпал, мамы (токтоп турган кемени аркан менен байлап бекитүүчү мамы).\nпал II\nм. обл.\n(на рисовом поле) пал (шалы айдаган жердин палы).
отскоблить	сов. что\nкыруу, кырып түшүрүү;\nотскоблить краску боёкту кырып түшүрүү.
креп	м.\nкреп (1. жука кара кездеме; 2. аза убагында карыга байлай турган кара лента).
хлоп	1. межд. шак-шак (кол чапкандагы добуш);\n2. в знач. сказ. чапты, урду;\nон хлоп кулаком по столу ал муштуму менен столду бир урду.
поскользнуться	сов.\nтайгалануу, тайгаланып кетүү, таюу.
кацавейка	ж. разг.\nкацавейка (алдынан топчуланбай турган аял кийиминин бир түрү).
улов	м.\nалынган балык, кармалган балык (бир убакта же белгилүү бир мөөнөттө кармалган балык);\nбогатый улов эң көп кармалган балык.
учение	ср.\n1. окуу, окутуу, үйрөнүү, үйрөтүү;\nгоды учения окуу жылдары;\nкончить учение окууну аяктоо (бүтүрүү);\n2. (наука, теория) окуу, илим;\nмарксистско-ленинское\nучение о партии партия жөнүндөгү марксисттик-лениндик окуу;\nмичуринское учение мичуриндик окуу;\n3. воен. окуу, үйрөнүү, үйрөтүү;\nстроевое учение стройго үйрөтүү;\nпроводить учения окуу өткөрүү.
предвкусить	сов.\nсм. предвкушать.
посыпаться	сов.\n1. (начать сыпаться) куюла баштоо, төгүлө баштоо, себээлей баштоо;\n2. перен. туш-туштан жааш, мөндүрдөй жааш;\nпосыпались вопросы суроолор туш-туштан жаады, суроолор мөндүрдөй жаады.
отправитель	м.\nжиберүүчү, жөнөтүүчү;\nотправитель грузов жүктөрдү жиберүүчү;\nотправитель денег акча жиберүүчү.
переключить	сов.\n1. что, тех. өткөрүү, которуу, башка жолго салуу, электр тогун бир проводдон экинчи проводго туташтыруу (электр тогунун багытын өзгөртүү);\n2. кого-что, перен. оодаруу, өткөрүү, көчүрүү, башкага түшүрүү;\nпереключить завод на производство тракторов заводду трактор иштеп чыгарууга өткөрүү.
проникновенность	ж.\nчын жүрөктөн чыккандык, эриткичтик, таасир кылгычтык.
цейхгауз	м. воен.\nцейхгауз (аскердин кийими сакталуучу үй).
надоить	сов. что, чего\nсаап алуу.
лаять	несов.\nүрүү, арсылдоо.
выковаться	сов.\nтарбиялануу, тарбияланып өсүү, кайраттуу болуп тарбиялануу.
манипулировать	несов.\nманипуляциялоо, манипуляция кылуу.
паралитический,	­ая, -ое\nпаралитик-ке т.
усидеть	сов.\nбек отуруу, чыдап отуруу;\nот нетерпения он не мог усидеть на месте чыдамы кеткендиктен ал ордуна отура албады;\nон не усидел в седле ал ээрге бек отура алган жок.
импортёр	м.\nимпортёр (чет өлкөдөн товарларды келтирүүчү киши).
физкультурница	женск. р. к физкультурник;\nфизкультурница.
санитарно-профилактический	­ая, -ое\nсанитардык-профилактикалык (оорунун алдын алуу үчүн көрүлгөн).
меблировать	сов. и несов. что\nмебелдөө (мебель менен жабдуу).
трансформатор	трансформатор I\nм. эл.\nтрансформатор (алмашма электр тогунун шыкалышын жогорулаткыч же төмөндөткүч аппарат).\nтрансформатор II\nм. театр.\nтрансформатор (1. кичине, көбүнчө күлкүлүү пьесаларда өзүнүн түрүн, костюм, грим, жүрүш-турушун ж.б. бат буруп, бир канча кишинин же бардыгынын ролун өзү жалгыз ойноочу актёр; 2. көз боёмолоочу; фокусник адам).
сагиттальный,	­ая, -ое\nсагиттальный разрез головы анат. башты оң жана сол жакка тең жара бөлүү.
грузоподъёмный,	­ая, -ое\nжүк көтөргүч;\nгрузоподъёмный кран жүк көтөргүч кран.
эксплуататорский,	­ая, -ое\nэксплуататор-го т.; эксплуататордук;\nэксплуататорские классы эксплуататордук таптар.
фантастичность	ж.\n1. (причудливость) фантазиялуулук, жомокко окшогондук;\n2. (несбыточность, невероятность) иш жүзүнө ашпастык.
автотранспорт	м.\nавтотранспорт (автомобилдик транспорт, пассажирдик жана жүк ташуучу автомобилдер).
связочный,	­ая, -ое\nсвязка 2-ге т.
уголёк	м.\nчок, көмүр (кичинекей).
староста	м.\nстароста;\nстароста группы группанын старостасы;\nсельский староста уст. селолук староста (старчын).
касатка	ж.\n1. зоол. касатка (чабалекейдин бир түрү);\n2. кулунум, жаным.
клоповый,	­ая, -ое\nклоп 1-ге т.
охолостить	сов. кого\nбиттөө, бычуу (мис. кочкорду).
серозём	м.\n(почва) боз топурак, боз топурактуу жер.
утопист	м.\nутопист (1. филос. утопиялык социализмдин жолун жолдоочу; 2. утопияга, кыялга берилүүчү адам).
утомление	ср.\nчарчоо, талуу, алсыроо, каруу кетүү, жадоо, зеригүү;\nпочувствовать утомление чарчоону сезүү.
норов	м.\n1. разг. кыян-кески, кежир;\nлошадь с норовом кыян-кески ат;\nчеловек с норовом кежир киши, мүнөзү бар адам;\n2. обл. (обычай) салт, үрп-адат;\nчто город, то норов посл. ар элдин салты ар башка.
брюки	только мн.\nшым.
ввод	м.\n1. (действие) киргизүү, киргизилүү, берүү;\nввод проводов тех. сымды киргизүү;\nввод завода в эксплуатацию заводду эксплуатацияга берүү;\n2. (место) киргизилүүчү орун;\nввод для телефона тех. телефон киргизилүүчү орун;\nввод в наследство юр. мурасты законго ылайыктап берүү.
искушение	ср.\nазгыруу, кызыктыруу;\nподдаваться искушению бирөөнүн азгырган тилине кирүү, кумарлыкка берилүү;\nвводить в искушение кызыктыруу, азгыруу.
шумиха	ж. неодобр.\nчуу, дуу, уру-чуу;\nподнять шумиху чуу көтөрүү, уру-чуу болуу.
умножать	несов.\nсм. умножить.
никелировать	несов. что\nникелдөө, никель менен каптоо.
влюбиться	сов. в кого, во что\nсүйүү, сүйүп калуу, ашык болуу, көңүл салуу;\nвлюбиться по уши разг. абдан сүйүп калуу.
львиный,	­ая, -ое\nлев 1-ге т.;\nльвиная грива арстан жалы;\nльвиный зев бот. арстан ооз (чоң гүлдүү бак өсүмдүктүн бир түрү);\nльвиная доля олчойгон бөлүгү, эң чоң бөлүгү.
отрекомендовать	сов. кого-что\n1. (при знакомстве) тааныштыруу, атын айтып тааныштыруу;\n2. (охарактеризовать) мүнөздөп таанытуу (көбүнчө мактап мүнөздөө).
взрезать	сов. что\nкесүү, союу (көрүү үчүн);\nвзрезать арбуз дарбызды кесүү (союу).\nвзрезать\nнесов.\nсм. взрезать.
брамин	м.\nбрамин (Индияда жрецтердин жогорку кастасынын мүчөсү).
выпячиваться	несов.\n1. см. выпятиться;\n2. страд. к выпячивать.
развратитель	м.\nбузуучу, бузуктукка үйрөтүүчү, бузуктукка бет алдыруучу.
несклоняемый,	­ая, -ое\nграм.\nжөндөлбөс, жөндөмө аффикстер менен өзгөрбөс.
маньяк	м.\nманьяк (манияга кабылган киши).
привольный,	­ая, -ое\nэмин-эркин, бейпил, эркинче;\nпривольное житьё бейпил турмуш.
мнение	ср.\nпикир, ой;\nвысказать своё мнение өз оюн айтуу, өз пикирин айтуу;\nя присоединяюсь к вашему мнению мен сиздин пикиринизге кошулам;\nпо моему мнению менин оюмча.
новеллист	м. лит.\nновеллачы (новелла жазуучу).
поучительный,	­ая, -ое\nүлгү болорлук, сабак болорлук (мис. окуя, насыят).
оптовик	м. уст.\nдүң соода кылуучу киши.
нумизматический,	­ая, -ое\nнумизматика-га т.; нумизматикалык;\nнумизматическая коллекция нумизматикалык коллекция.
ярд	м.\nярд (1. узундукту ченөөнүн англиялык өлчөөсү; бул - 0,9144 метрге барабар; 2. бир нерсенин, жердин бетин ченөөнүн англиялык өлчөөсу; бул - 4855 квадраттык метрге барабар келет).
гортань	ж. анат.\nкекиртек;\nу него язык прилип к гортани ал эмне айтарын билбей тили байланып калды.
ощипать	сов. кого-что\nжулуу (куштун жүнүн).
подновлять	несов.\nсм. подновить.
православие	ср.\nправославие (христиан дининин бир бутагы).
одни	мн. от один.
равнодушно	нареч.\nкөңүл кош, кош көңүл, мейли деп, камаарабай;\nсмотреть равнодушно на что-л. бир нерсеге көнүл кош, мейли деп кароо.
текстология	ж. филол.\nтекстология (филологиянын тексттерди үйрөнүү жана бастырып чыгаруу боюнча иштөөчү бир бөлүгү).
наклюнуть	сов.\nчокуп теше баштоо, тешүү (жумуртканы тешип чыгып келаткан балапан жөнүндө);\nцыплёнок наклюнул яйцо чөжө жумуртканы чокуп теше баштады.
недоконченный,	­ая, -ое\nбүтпөгөн, бүтүрүлбөгөн, бүтүрүлө элек, бүтө элек, чала калган.
позаботиться	сов. о ком-чём\nкамын көрүү, кам жеш, багууга аракет кылуу.
першить	несов. безл.\nкычышуу, кычыштыруу, ачышуу;\nв горле першит тамак кычышып турат.
обороняться	несов.\n1. коргонуу;\n2. страд. к оборонять.
заворот	м.\nзаворот кишок мед. ичеги түйүлүү.
гусеница	ж.\nгусеница (1. зоол. көпөлөк курту; 2. тех. трактор, танк сыяктуу оор машинанын дөңгөлөгүнө капталуучу кырдуу жазы чынжыр).
драчливый,	­ай, -ое\nразг.\nурушчаак.
прислуживать	несов. кому, уст.\nкызмат кылуу, кызматын аткаруу;\nприслуживать за столом тамак-аш ичип жатканда тейлеп туруу.
черкнуть	однокр. что, разг.\nсыза салуу, чие салуу, жаза салуу;\nчеркните мне несколько слов мага куш тилиндей кат жазып бере салыңызчы.
премирование	ср.\nпремия берүү, сыйлоо, сыйлык берүү.
закроить	сов. что\n1. (начать кроить) быча баштоо (кийим);\n2. (выкроить) бычуу.
неосмотрительный,	­ая, -ое\nабайлабаган, байкабаган, аяр эмес, аяр кылбаган;\nнеосмотрительный поступок аяр кылбай иштелген иш;\nнеосмотрительный человек аркы-беркини абайлабаган киши.
чин	м. уст.\n1. чин (мамлекеттик, согуштук жана граждандык кызматчылардын кызматтык даражасы);\nповышение в чине чини жагынан жогору көтөрүлүү;\nофицерский чин офицердик чин;\n2. (чиновник) чин;\nчины дипломатического корпуса дипломаттык корпустун чиндери (бир өкмөттүн алдындагы чет элдик посольстволорунун жогорку кызмат адамдары);\nбез чинов разг. ачык-айрым, өз кишидей (мамиле);\nчин чином разг. тийиштүү болгондой.
шурфование	ср. горн.\nшурфтоо (шурф жасап текшерүү).
салон	м. в разн. знач.\nсалон;\nвагон-салон или салон-вагон вагон-салон же салон-вагон (бир бөлүгү купе, экинчи бөлүгү жалпы бөлмө болгон вагон).
наклонение	ср.\n1. (действие) ийүү, төмөн ийүү, эңкейүү;\n2. грам. ыңгай (этиштин бир формасы);\nповелительное наклонение буйрук ыңгай (этиш).
высушивание	ср.\nкургатуу.
округа	ж. разг.\nайланадагы жер.
вспрыскивать	несов.\nсм. вспрыснуть.
разграфить	сов. что\nсызуу, сызык түшүрүү, графалоо, графалап сызуу;\nразграфить бумагу кагазды графалап сызуу.
зоологический,	­ая, -ое\nзоологиялык;\nзоологический парк зоологиялык парк.
грузовой,	­ая, -ое\nгруз-га т;\nгрузовой транспорт жүк ташуучу транспорт;\nгрузовой автомобиль жүк ташуучу автомобиль, грузовой автомобиль.
разбрызгать	сов. что\n1. чачыратуу;\n2. (многое, всё) чачыратып түгөтүү.
вегетационный,	­ая, -ое\nбот.\nвегетациялык (өсүүгө жана көбөйүүгө жардам кылуучу);\nвегетационный период вегетациялык мезгил (өсүмдүктөрдүн өсүшү жана көбөйүшү үчүн керек болгон мезгили).
палубный,	­ая, -ое\nпалуба-га т.; палубалык;\nпалубная команда палубалык команда.
обоснование	ср.\n1. (действие) негиздөө, негизделүү;\n2. (довод) негиз;\nсерьёзное обоснование олуттуу негиз.
вопросник	м.\nсуроолор тизмеги.
вызубривать	несов.\nсм. вызубрить.
зарываться	зарываться I\nнесов.\n1. см. зарыться;\n2. страд. к зарывать.\nзарываться II\nнесов.\nсм. зарваться.
суеверный,	­ая, -ое\nырымчыл, жок нерсеге ишенүүчү;\nсуеверный человек ырымчыл киши;\nсуеверные приметы ырым-жырымдын белгилери.
надзирать	несов. за кем-чем\nкөздөө, кароо, байкоо, кайтаруу, күзөтүү.
насморк	м.\nсасык тумоо.
сапфир	м. мин.\nсапфир (өтө кымбаттуу көк же жашыл түстүү асыл таш).
условие	ср.\n1. (обстоятельство, требование) шарт;\nвыполнить все условия бардык шартты аткаруу;\nставить условием что-л. бир нерсени шарт кылып коюу;\nпри условии ошондой шарт болсо;\nя это сделаю при условии, что мне помогут эгер мага жардам кылышса, мен ошондо гана аткара аламын;\n2. (договор, соглашение) шарт, келишим;\nзаключить условие шартташуу;\nнарушить условие шартты бузуу;\nна льготных условиях жеңилдик берилген шарттарда;\n3. условия мн. (обстановка) шарттар;\nблагоприятные условия ылайыктуу (жайлуу) шарттар;\nусловия материальной жизни общества коомдун материалдык турмуш шарттары;\nклиматические условия климат шарттары;\nжилищные условия турак үй шарттары;\nусловия труда эмгек шарттары;\nусловия задачи мат. маселенин шарттары.
намазываться	несов.\n1. см. намазаться 1;\n2. страд. к намазывать.
целостность	ж.\nбирдиктүүлүк, бүтүндүк, жыйнактык.
тебе	мест. личн. дат. и предл. п. от ты;\nтебе надо учиться сага окуш керек;\nо тебе вчера говорили сен жөнүндө кечээ сөз болду.
операционный,	­ая, -ое\n1. операция 1-ге т.; операциялык;\nоперационное отделение в больнице оорукананын операциялык бөлүмү;\nоперационный стол операциялык стол;\nоперационные инструменты операция жасоого керектүү инструменттер;\n2. в знач. сущ. ж. мед. операционная (операция жасоочу бөлмө);\n3. операция 3-кө т.; операциялык;\nоперационный зал в банке банктагы операциялык зал.
трёхколёсный,	­ая, -ое\nүч дөңгөлөктүү.
лежалый,	­ая, -ое\nузак убакка чейин жатып калган, көпкө туруп калган, көпкө жатып калган;\nлежалый товар көпкө жатып калган товар;\nлежалая мука көп туруп калган ун.
прения	только мн.\nжарыш сөз;\nвыступить в прениях по докладу доклад боюнча жарыш сөзгө чыгуу;\nпрения сторон юр. сотто жактардын, тараптардын айтышуулары.
потёмки	только мн.\n1. караңгы;\nблуждать в потёмках караңгыда адашуу;\n2. перен. (неизвестность) белгисиздик, дайынсыздык;\nчужая душа - потёмки посл. бирөөнүн ичинде эмне барын ким билсин.
заткать	сов. что\nбастыруу, бастырып тигүү;\nзаткать платье серебром көйнөккө күмүш ноко бастырып тигүү.
велодром	м.\nвелодром (велосипед жарыштыруучу атайын жолдору бар аянтча).
затараторить	сов. разг.\nбыдылдап сүйлөй баштоо.
аккорд	м. муз.\nаккорд (бир канча музыкалык тондордун үн алышып бир жолу чыгышы);\nвзять несколько аккордов бир нече аккорд алуу;\nзаключительный аккорд акыркы (аяккы) аккорд;\nаккорд струн смычоктуу (кыяк, скрипка ж.б.) жана чертме (комуз, мандолина ж.б.) инструменттер үчүн струналардын жыйындысы.
целлюлозно-бумажный,	­ая, -ое\nцеллюлозно-бумажный комбинат целлюлоза-кагаз комбинаты.
выстлать	сов. что\nтөшөө, салуу.
щериться	несов.\n1. прост. (скалиться) арсыйтуу (тишти);\n2. обл. (топорщить шерсть) үрпөйтүү (жүндү).
закапать	сов.\n1. (начать капать) тамчылай баштоо;\nдождь закапал жаан тамчылай баштады;\n2. что, разг. (запачкать) чачыратуу;\nзакапать себе платье көйнөгүнө чачыратуу.
почитатель	м.\nкадырдоочу, сыйлоочу, ардактоочу, урматтоочу.
словоупотребление	ср.\nречте сөздөрдү колдонуу.
эдак	нареч.\nсм. этак.
непрестанный,	­ая, -ое\nтоктоосуз, ар дайым.
творить	творить I\nнесов. что\n1. (создавать) жасоо, түзүү, жаратуу, чыгаруу;\nтворить новую жизнь жаңы турмуш түзүү;\n2. (совершать, осуществлять) орундоо, аткаруу, иштөө;\nтворить чудеса героизма баатырдыктын укмуштуу үлгүсүн көрсөтүү.\nтворить II\nнесов. что\n(размешивать) чылап аралаштыруу;\nтворить известь тех. акиташты чылап аралаштыруу.
зимний,	­яя, -ее\nкышкы, кыштык;\nзимний день кышкы күн;\nзимний вечер кышкы кеч;\nзимняя одежда кыштык кийим;\nзимние растения кышкы өсүмдүктөр;\nзимний спорт кышкы спорт;\nзимняя спячка кышкы чээнге кирүү (айбаңаттардын кириши);\nзимние квартиры воен. кыштык квартиралар.
достойный,	­ай, -ое\n1. (заслуживающий чего-л.) татырдык, татыктуу, арзырдык;\nработник, достойный премирования сыйлоого татырдык кызматчы;\nдостойный уважения кадырдоого арзырдык;\n2. (справедливый) туура;\nдостойная оценка туура баа;\n3. (почтенный) ардактуу, кадырдуу, беделдүү;\nдостойный человек ардактуу киши.
отчаяние	ср.\nтаптакыр үмүт үзүү, айла түгөнүү;\nне приходить в отчаяние үмүт үзүү болбойт;\nон говорил с отчаянием в голосе анын үнүнөн таптакыр айласы кеткени көрүнүп турду.
недёшево	нареч.\n1. (довольно дорого) арзан эмес, кымбат;\n2. перен. (с трудом) оңой эмес, кыйын, кыйындык менен;\nэто мне досталось недёшево бул мага оңой болгон жок.
благозвучный,	­ая, -ое\nкооз үндүү үндүү, жакшынакай үндүү, үнү уккулуктуу.
въестся	сов.\nоюп кирүү, сиңип кирүү.
изрыгнуть	однокр.\nсм. изрыгать.
наваждение	ср. уст.\nкызыктырып алдоо, азгыруу (динге ишенүүчүлөрдү);\nдьявольское наваждение шайтан азгыруу.
разрумяниться	сов.\n1. (натереть себе лицо румянами) бетин кызартып боёо, бетине эндик сыйпоо;\n2. (покрыться румянцем) кызаруу, албыруу;\nлицо разрумянилось на морозе бети сууктан кызарды.
мезонин	м.\nмезонин (үйдүн төбөсүнүн ортосуна курулган кичирээк үй).
изредка	нареч.\nанда-санда, кезек-кезек;\nон изредка бывает у старшего брата ал агасыныкында анда-санда болот.
насаживать	насаживать I\nнесов.\nсм. насадить I.\nнасаживать II\nнесов.\nсм. насадить II.
абиссинка	женск. р. к абиссинец;\nабиссинка;\nсм. эфиопка.
переустроить	сов. что\nкайтадан куруу.
алеть	несов.\n1. (становиться алым) кызаруу, кызгылт тартуу, мала кызылдануу;\nвосток алел чыгыш кызарып турду;\n2. (виднеться - о чём-л. алом) кызарып көрүнүү, мала кызылданып көрүнүү.
мороженщица	женск. р. к мороженщик.
подмога	ж. разг.\nжардам, көмөк, кол кабыш;\nидти на подмогу жардамга баруу.
выторговывать	несов.\nсм. выторговать.
придыхательный,	­ая, -ое\nлингв.:\nпридыхательный звук дём тыбышы.
марабу	м. нескл. зоол.\nмарабу (Африкада жана Азияда жашоочу, илегилек тукумуна жатуучу куш).
бездарный,	­ая, -ое\nзээнсиз, талантсыз (о человеке); өтө жаман, өтө начар;\nбездарный роман өтө начар роман.
злоупотребить	сов. чем\nкыянаттык кылуу, жаман ой менен пайдалануу, кыянаттык менен пайдалануу, тескери пайдалануу (мис. бийликти, кызматты);\nзлоупотребить доверием ишенимден ыгы жок ашыра пайдалануу;\nзлоупотребить своим положением өз колундагы бийликти жаман ой менең тескери пайдалануу.
старосветский,	­ая, -ое\nуст.\nэскичил, мурунку үрп-адатты колдонуучу;\nстаросветские помещики эски үрп-адатты колдонуучу помещиктер.
ерошиться	несов. разг.\nүрпөйүү, уйпалануу, түктүйүү.
мараться	несов. разг.\n1. (пачкаться) булгануу, шалтактоо;\n2. (пачкать собою) булгоо;\n3. перен. жаманатты болуу;\nне стоит мараться арзыбаган же болбогон ишке катышуунун кереги жок.
дендрология	ж. бот.\nдендрология (ботаниканын жыгач өсүмдүктөрү жөнүндөгү бир бөлүмү).
приводить	несов.\nсм. привести.
беззаконие	ср.\nзаконсуздук (отсутствие законности); законду бузгандык, законду бузуу (беззаконный поступок).
папаха	ж.\nпапаха, бапак (шоңшогой көрпө тебетей).
перестреливаться	несов.\nатышуу, аткылашуу.
язва	ж.\n1. (рана) жара, жаракат;\nязва желудка мед. карындагы жара;\n2. перен. (зло, вред) балаа, зыяндуулук;\n3. перен. разг. (о человеке) тили заар, уу тилдүү;\nон такая язва анын тили эң эле заар.
нету	безл. в знач. сказ. разг.\nжок;\nдругого такого нету башка мындай жок.
однополый,	­ая, -ое\nбот.\nбир жыныстуу, бир тукумдуу (аталыгы же энелиги гана бар өсүмдүк).
схоластика	ж.\nсхоластика (1. орто кылымдардагы диний идеалисттик философиянын жалпы аты; 2. перен. турмуштан жана практикадан таптакыр ажыраган, курулай баш катырмачылык, начётчиктик кылган билим).
пунктир	м.\nпунктир (чекит менен белгиленген сызык);\nначертить пунктиром пунктир менен сызуу.
желание	ср.\nкаалоо, тилек;\nиметь желание каалоо;\nгореть желанием абдан каалоо;\nпри всем моём желании менин тилегиме карабастан;\nпротив желания тилекке каршы;\nпо желанию каалоо боюнча;\nисполнение желания тилектин орундалышы;\nего желание ислолнилось анын тилеги орундалды.
косеканс	м. мат.\nкосеканс (тригонометрияда кошумча бурчтун секансы).
пихаться	несов. разг.\nтүртүшүү, итеришүү;\nне пихайся! түртүшпө!
кривая	ж.\nсм. кривой 4.
жимолость	ж. бот.\nшилби.
подсмотреть	сов. кого-что\nбайкап коюу, андып жүрүү, артынан көз салып жүрүү.
навытяжку	нареч.:\nстоять навытяжку какайып туруу.
диспут	м.\nдиспут (1. илимий темада болгон көпчүлүк алдындагы оозеки айтыш, тартыш; 2. илимий даража алуу үчүн өз эмгегин эл алдында коргоо).
крестины	мн. рел.\nчокундуруу ырым-жырымдары.
промелькнуть	сов.\n1. көзгө көрүнүп жок болуу, тез өтүү, көз ачып жумганча өтүп кетүү;\nпромелькнуть перед глазами көзгө көрүнүп коюп, жок болуп кетүү;\nпромелькнуло лето жай көз ачып жумганча эле өтүп кетти;\n2. перен. пайда болуу, көрүнүү, чыгуу;\nв его словах промелькнула ирония анын сөзүндө ирония (келеке) бар экендиги көрүнүп турат.
подучиться	сов.\nүйрөнүү, окуу.
логический,	­ая, -ое\n1. логика-га т.; логикалык;\nлогический вывод логикалык корутунду;\nлогическое последствие логикалык тыянак, логикалык натыйжа;\n2. см. логичный.
озлобление	ср.\nачуулануу, ачуусу (жини) келүү;\nвызвать у кого-л. озлобление бирөөнүн жинин келтирүү;\nсказать с озлоблением ачуусу келип туруп айтуу.
торф	м.\nчым көң;\nзалежи торфа чым көңдүү жер;\nдобыча торфа чым көн, чыгаруу, чым көңдү казып алуу.
связующий,	­ая, -ее\n1. прич. от связывать;\n2. прил. байланыштыруучу;\nсвязующее звено байланыштыруучу звено.
мужичок	м. уменьш.-ласк. от мужик.
заклеймить	сов. кого-что\n1. (поставить клеймо) тамга салуу, басуу, тамга уруу, белги салуу;\nзаклеймить тюки товара товардын таңгактарына белги салуу;\n2. перен. наалат айтуу, каргоо;\nзаклеймить позором наалат айтып маскара кылуу.
совместить	сов.\n1. что (соединить вместе) батыштыруу, сыйыштыруу, бирге кошуу, бирге алып баруу;\nон может совместить две специальности ал эки специальностуну бирге алып бара алат (сыйыштыра алат);\n2. кого-что бириктирүү, кошуу;\nя не могу совместить это с моими убеждениями мен муну өзүмдүн ишенимим (пикирим) менен бириктире албаймын.
краснофлотец	м.\nкызыл флотчу (СССР флотунда аскер кызматындагы адам, моряк).
судно	ср. (мн. судна)\nкеме;\nплавать на судне кемеге түшүп сууда жүрүү.\nсудно II\nср. (мн. судна)\n(подкладной сосуд для больного) судно, даарат идиши (оорулуу адамдын алдына коюп заара кылдыруучу идиш).
скорострельный,	­ая, -ое\nтез атар;\nскорострельная пушка тез атар замбирек.
спрятаться	сов.\nжашынуу, жашырынуу, катылуу.
верещать	несов. разг.\nкулактын кужурун алып чыйкылдоо.
эй	межд.\nэй, ой;\nэй, кто там? эй, ким анда?; ой, ким анда?
наплыть	сов.\n1. на кого-что (плывя наткнуться) урунуу (мис. кеме тайызга);\nнаплыть на камень сүзүп келип ташка урунуу;\n2. (скопиться) агып келип чогулуу (мис. көп дөңгөч);\nнаплыло много брёвен көп дөңгөч агып келип чогулду.
зарубцовываться	несов.\nсм. зарубцеваться.
уважить	сов.\n1. что (принять во внимание) орундоо (тилегин, өтүнүчүн орундоо; макул таап орундоо);\nя уважил вашу просьбу мен сиздин өтүнүчүцүздү орундадым;\n2. кого, разг. сыйлоо, кадырдоо, тилегин орундатуу;\nуважить родителей эне-атаны сыйлоо.
кой-что	мест.\nсм. кое-что.
заучить	сов. что\nжаттоо, жатка үйрөнүү;\nзаучить стихотворение наизусть ырды жаттап алуу.
машинизировать	сов. и несов. что\nмашиналаштыруу.
препроводить	сов. что, офиц.\nжиберүү, жөнөтүү (документти, материалды).
разочарованный,	­ая, -ое\n1. прич. от разочаровать;\n2. прил. көңүл калган, көңүл кайткан, ыранжыган, иренжиген.
накапчивать	несов.\nсм. накоптить 2.
засорить	сов. что\n1. булгоо, ыпылас кылуу;\nзасорить пруды көлмөлөрдү булгоо;\n2. (повредить чем-л.) бузуу, бир нерсе түшүрүп зыянга учуратуу;\nзасорить глаза көзгө бир нерсе түшүрүп алуу;\nзасорить желудок ичти бузуу, күптү кылуу.
людоедство	ср.\nмыкаачылык.
опечатать	сов. что\nпечаттоо, печать басуу (бийлик органы тарабынан үйгө, шкафка, дүкөнгө, кампага ж.б. ичине киргис кылып печать басуу);\nопечатать квартиру квартираны печаттоо.
расфранчённый,	­ая, -ое\nразг.\nаябай кооз кийинген, жасанган.
ольшаник	м.\nольха жыгачынын токою, ольха жыгачы калың чыккан жер.
трансцендентальный,	­ая, -ое\nтрансценденталдуу (Канттын идеалисттик философиясында - тажрыйбага көз каранды болбогон кубулуштарды билүүгө таандык болгон; априордук).
наблюдательный,	­ая, -ое\n1. (о человеке) байкагыч;\n2. (служащий для наблюдения) байкоо жүргүзүлүүчү;\nнаблюдательный пункт байкоо жүргүзүлүүчү пункт.
шрам	м. тырык.
припахивать	несов. разг.\n1. чем жыттануу, бир аз жыттануу;\nтесто чем-то припахивает камыр бир нерсе жыттанат;\n2. (об испорченных продуктах) сасый баштоо, борсуй баштоо, жыттана баштоо;\nмясо начало припахивать эт жыттана баштады.
терять	несов.\n1. что жоготуу;\nтерять деньги акча жоготуу;\n2. кого-что, перен. (лишаться) үмүт үзүү, жоготуу, айрылуу;\nтерять друзей достордон ажыроо;\nтерять влияние таасирин жоготуу;\nне терять надежды үмүт үзбөө;\nтерять сознание эсинен тануу;\n3. в чём, перен. (убавляться) жоготуу, кемүү;\nтерять в весе салмагы кемүү, салмагын жоготуу;\n4. что (тратить попусту) бошко кетирүү, бошко өткөрүү, сарп кылуу;\nтерять время убакытты бошко кетирүү;\n5. что на ком-чём (терпеть ущерб) жоготуу, айрылуу, сарп болуу, зыянга учуроо;\nя на этом много теряю мен мындан көп зыянга учураймын;\nнечего терять жогото турган эчтемеси жок;\nтерять голову эмне кыларын билбей, шашып калуу; акылынан ажырап калуу, дал болуп калуу, алдастап калуу;\nтерять из виду\n1) (переставать видеть) кездешпөө, кезикпөө; кайда кеткенин, эмне кылып жүргөнүн билбөө;\n2) (не иметь сведений о ком-л.) жоготуу, жолугушпай калуу, көз алдынан жоготуп коюу, кабар албай коюу;\nтерять почву под ногами таман тирегинин бошошу; ишинин, абалынын олку-солку болушу;\nтерять силу (за давностью) күчүн кетирүү, күчүн жоготуу (мис. закон ж.б.).
отвечать	несов.\n1. см. ответить;\n2. за что (быть ответственным) жооп берүү, жооптуу болуу;\nотвечать за порученное дело тапшырылган иш үчүн жооп берүү;\n3. чему (соответствовать) -а ылайык болуу (келүү), туура келүү, жооп берип туруу;\nрукопись отвечает требованиям издательства кол жазма басманын таламдарына ылайык келет;\nдиссертация отвечала научным требованиям диссертация илимий таламдарга жооп берии турду.
